"CO_CID","DS_CID"
"C630","Neoplasia maligna do epidídimo"
"C631","Neoplasia maligna do cordão espermático"
"C632","Neoplasia maligna do escroto"
"C637","Neoplasia maligna de outros órgãos genitais masculinos especificados"
"C638","Neoplasia maligna dos órgãos genitais masculinos com lesão invasiva"
"C639","Neoplasia maligna de órgão genital masculino, não especificado"
"C64","Neoplasia maligna do rim, exceto pelve renal"
"C65","Neoplasia maligna da pelve renal"
"C66","Neoplasia maligna dos ureteres"
"C670","Neoplasia maligna do trígono da bexiga"
"C671","Neoplasia maligna da cúpula da bexiga"
"C672","Neoplasia maligna da parede lateral da bexiga"
"C673","Neoplasia maligna da parede anterior da bexiga"
"C674","Neoplasia maligna da parede posterior da bexiga"
"C675","Neoplasia maligna do colo da bexiga"
"C676","Neoplasia maligna do orifício uretérico"
"C677","Neoplasia maligna do úraco"
"C678","Neoplasia maligna da bexiga com lesão invasiva"
"C679","Neoplasia maligna da bexiga, sem outra especificações"
"C680","Neoplasia maligna da uretra"
"C681","Neoplasia maligna da glândula parauretral"
"C688","Neoplasia maligna dos órgãos urinários com lesão invasiva"
"C689","Neoplasia maligna de órgão urinário, não especificado"
"C690","Neoplasia maligna da conjuntiva"
"C691","Neoplasia maligna da córnea"
"C692","Neoplasia maligna da retina"
"C693","Neoplasia maligna da coróide"
"C694","Neoplasia maligna do corpo ciliar"
"C695","Neoplasia maligna da glândula e canal lacrimal"
"C696","Neoplasia maligna da órbita"
"C698","Neoplasia maligna do olho e anexos com lesão invasiva"
"C699","Neoplasia maligna do olho, não especificado"
"C700","Neoplasia maligna das meninges cerebrais"
"C701","Neoplasia maligna das meninges espinhais"
"C709","Neoplasia maligna da meninge, não especificada"
"C710","Neoplasia maligna do cérebro, exceto lobos e ventrículos"
"C711","Neoplasia maligna do lobo frontal"
"C712","Neoplasia maligna do lobo temporal"
"C713","Neoplasia maligna do lobo parietal"
"C714","Neoplasia maligna do lobo occipital"
"C715","Neoplasia maligna do ventrículo cerebral"
"C716","Neoplasia maligna do cerebelo"
"C717","Neoplasia maligna do tronco cerebral"
"C718","Neoplasia maligna do encéfalo com lesão invasiva"
"C719","Neoplasia maligna do encéfalo, não especificado"
"C720","Neoplasia maligna da medula espinhal"
"C721","Neoplasia maligna da cauda eqüina"
"C722","Neoplasia maligna do nervo olfativo"
"C723","Neoplasia maligna do nervo óptico"
"C724","Neoplasia maligna do nervo acústico"
"C725","Neoplasia maligna de outros nervos cranianos e os não especificados"
"C728","Neoplasia maligna do encéfalo e de out. partes do sist. nervoso central com lesão invasiva"
"C729","Neoplasia maligna do sistema nervoso central, não especificado"
"C73","Neoplasia maligna da glândula tireóide"
"C740","Neoplasia maligna do córtex da supra-renal"
"C741","Neoplasia maligna da medula da supra-renal"
"C749","Neoplasia maligna da glândula supra-renal, não especificada"
"C750","Neoplasia maligna da glândula paratireóide"
"C751","Neoplasia maligna da glândula hipófise (pituitária)"
"C752","Neoplasia maligna do conduto craniofaríngeo"
"C753","Neoplasia maligna da glândula pineal"
"C754","Neoplasia maligna do corpo carotídeo"
"C755","Neoplasia maligna do corpo aórtico e outros paragânglios"
"C758","Neoplasia maligna com comprometimento pluriglandular, sem outra especificação"
"C759","Neoplasia maligna de glândula endócrina, não especificada"
"C760","Neoplasia maligna da cabeça, face e pescoço"
"C761","Neoplasia maligna do tórax"
"C762","Neoplasia maligna do abdome"
"C763","Neoplasia maligna da pelve"
"C764","Neoplasia maligna do membro superior"
"C765","Neoplasia maligna do membro inferior"
"C767","Neoplasia maligna de outras localizações mal definidas"
"C768","Neoplasia maligna de outras localizações e das mal definidas com lesão invasiva"
"C770","Neoplasia maligna secundária e não especificada dos gânglios linfáticos da cabeça, face e pescoço"
"C771","Neoplasia maligna secundária e não especificada dos gânglios linfáticos intratorácicos"
"C772","Neoplasia maligna secundária e não especificada dos gânglios linfáticos intra-abdominais"
"C773","Neoplasia maligna secundária e não especificada dos gânglios linf. axilares e membros superiores"
"C774","Neoplasia maligna secundária e não especificada dos gânglios linf. inguinais e membros inferiores"
"C775","Neoplasia maligna secundária e não especificada dos gânglios linfáticos intrapélvicos"
"C778","Neoplasia maligna secundária e não especificada dos gânglios linfáticos de múltiplas regiões"
"C779","Neoplasia maligna secundária e não especificada de gânglio linfático, não especificado"
"C780","Neoplasia maligna secundária dos pulmões"
"C781","Neoplasia maligna secundária do mediastino"
"C782","Neoplasia maligna secundária da pleura"
"C783","Neoplasia maligna secundária de outros órgãos respiratórios e não especificados"
"C784","Neoplasia maligna secundária do intestino delgado"
"C785","Neoplasia maligna secundária do intestino grosso e do reto"
"C786","Neoplasia maligna secundária do retroperitônio e do peritônio"
"C787","Neoplasia maligna secundária do fígado"
"C788","Neoplasia maligna secundária de outros órgãos digestivos e não especificados"
"C790","Neoplasia maligna secundária do rim e da pelve renal"
"C791","Neoplasia maligna secundária da bexiga, de outro órgão urinário e não especificado"
"C792","Neoplasia maligna secundária da pele"
"C793","Neoplasia maligna secundária do encéfalo e das meninges cerebrais"
"C794","Neoplasia maligna secundária de outras partes do sistema nervoso e não especificadas"
"C795","Neoplasia maligna secundária dos ossos e da medula óssea"
"C796","Neoplasia maligna secundária do ovário"
"C797","Neoplasia maligna secundária das glândulas supra-renais (adrenais)"
"C798","Neoplasia maligna secundária de outra localização especificada"
"C80","Neoplasia maligna, sem especificação de localização"
"C810","Doença de Hodgkin, predominância linfocítica"
"C811","Doença de Hodgkin, esclerose nodular"
"C812","Doença de Hodgkin, celularidade mista"
"C813","Doença de Hodgkin, depleção linfocítica"
"C817","Outra forma da doença de Hodgkin"
"C819","Doença de Hodgkin, não especificada"
"C820","Linfoma não-Hodgkin, pequenas células clivadas, folicular"
"C821","Linfoma não-Hodgkin, misto, de pequenas e grandes células clivadas, folicular"
"C822","Linfoma não-Hodgkin, grandes células, folicular"
"C827","Outros tipos de linfoma não-hodgkin, folicular"
"C829","Linfoma não-Hodgkin, folicular, não especificado"
"C830","Linfoma não-Hodgkin difuso, pequenas células (difuso)"
"C831","Linfoma não-Hodgkin difuso, pequenas células clivadas (difuso)"
"C832","Linfoma não-Hodgkin difuso, misto, de pequenas e grandes células (difuso)"
"C833","Linfoma não-Hodgkin difuso, grandes células (difuso)"
"C834","Linfoma não-Hodgkin difuso, imunoblástico (difuso)"
"C835","Linfoma não-Hodgkin difuso, linfoblástico (difuso)"
"C836","Linfoma não-Hodgkin difuso, indiferenciado (difuso)"
"C837","Tumor de Burkitt"
"C838","Outros tipos de linfoma não-Hodgkin difuso"
"C839","Linfoma não-Hodgkin difuso, não especificado"
"C840","Micose fungóide"
"C841","Doença de Sézary"
"C842","Linfoma da zona T"
"C843","Linfoma linfoepitelióide"
"C844","Linfoma de células T, periférico"
"C845","Outros linfomas de células T e os não especificados"
"C850","Linfossarcoma"
"C851","Linfoma de células B, não especificado"
"C857","Outros tipos especificados de linfoma não-hodgkin"
"C859","Linfoma não-Hodgkin de tipo não especificado"
"C880","Macroglobulinemia de waldenström"
"C881","Doença de cadeia pesada Alfa"
"C882","Doença de cadeia pesada Gama"
"C883","Doença imunoproliferativa do intestino delgado"
"C887","Outras doenças imunoproliferativas malignas"
"C889","Doença imunoproliferativa maligna, não especificada"
"C900","Mieloma múltiplo"
"C901","Leucemia plasmocitária"
"C902","Plasmocitoma extramedular"
"C910","Leucemia linfoblástica aguda"
"C911","Leucemia linfocítica crônica"
"C912","Leucemia linfocítica subaguda"
"C913","Leucemia pró-linfocítica"
"C914","Leucemia de células pilosas"
"C915","Leucemia de células t do adulto"
"C917","Outras leucemias linfóides"
"C919","Leucemia linfóide, não especificada"
"C920","Leucemia mielóide aguda"
"C921","Leucemia mielóide crônica"
"C922","Leucemia mielóide subaguda"
"C923","Sarcoma mielóide"
"C924","Leucemia pró-mielocítica aguda"
"C925","Leucemia mielomonocítica aguda"
"C927","Outras leucemias mielóides"
"C929","Leucemia mielóide, não especificada"
"C930","Leucemia monocítica aguda"
"C931","Leucemia monocítica crônica"
"C932","Leucemia monocítica subaguda"
"C937","Outras leucemias monocíticas"
"C939","Leucemia monocítica, não especificada"
"C940","Eritremia e eritroleucemia agudas"
"C941","Eritremia crônica"
"C942","Leucemia megacarioblástica aguda"
"C943","Leucemia de mastócitos"
"C944","Panmielose aguda"
"C945","Mielofibrose aguda"
"C947","Outras leucemias especificadas"
"C950","Leucemia aguda de tipo celular não especificado"
"C951","Leucemia crônica de tipo celular não especificado"
"C952","Leucemia subaguda de tipo celular não especificado"
"C957","Outras leucemias de tipo celular não especificado"
"C959","Leucemia não especificada"
"C960","Doença de Letterer-Siwe"
"C961","Histiocitose maligna"
"C962","Tumor maligno de mastócitos"
"C963","Linfoma histiocítico verdadeiro"
"C967","Outras neoplasias malignas especificadas dos tecidos linfático, hematopoético e tecidos correlatos"
"C969","Neoplasia maligna dos tecidos linfático, hematopoético e tecidos correlatos, não especificada"
"C97","Neoplasias malignas de localizações múltiplas independentes (primárias)"
"D000","Carcinoma in situ dos lábios, cavidade oral e faringe"
"D001","Carcinoma in situ do esôfago"
"D002","Carcinoma in situ do estômago"
"D010","Carcinoma in situ do cólon"
"D011","Carcinoma in situ da junção retossigmóide"
"D012","Carcinoma in situ do reto"
"D013","Carcinoma in situ do ânus e canal anal"
"D014","Carcinoma in situ de outras partes do intestino e as não especificadas"
"D015","Carcinoma in situ do fígado, vesícula biliar e vias biliares"
"D017","Carcinoma in situ de outros órgãos especificados do aparelho digestivo"
"D019","Carcinoma in situ de órgãos digestivos, não especificado"
"D020","Carcinoma in situ da laringe"
"D021","Carcinoma in situ da traquéia"
"D022","Carcinoma in situ dos brônquios e pulmões"
"D023","Carcinoma in situ de outras partes do aparelho respiratório"
"D029","Carcinoma in situ do aparelho respiratório, não especificado"
"D030","Melanoma in situ do lábio"
"D031","Melanoma in situ da pálpebra, incluindo o canto"
"D032","Melanoma in situ da orelha e do conduto auditivo externo"
"D033","Melanoma in situ de outras partes, e de partes não especificadas da face"
"D034","Melanoma in situ do couro cabeludo e do pescoço"
"D035","Melanoma in situ do tronco"
"D036","Melanoma in situ dos membros superiores, incluindo ombro"
"D037","Melanoma in situ dos membros inferiores, incluindo quadril"
"D038","Melanoma in situ de outras localizações"
"D039","Melanoma in situ, não especificado"
"D040","Carcinoma in situ da pele do lábio"
"D041","Carcinoma in situ da pele da pálpebra, incluindo o canto"
"D042","Carcinoma in situ da pele da orelha e do conduto auditivo externo"
"D043","Carcinoma in situ da pele de outras partes e de partes não especificadas da face"
"D044","Carcinoma in situ da pele do couro cabeludo e do pescoço"
"D045","Carcinoma in situ da pele do tronco"
"D046","Carcinoma in situ da pele dos membros superiores, incluindo ombro"
"D047","Carcinoma in situ da pele dos membros inferiores, incluindo quadril"
"D048","Carcinoma in situ da pele de outras localizações"
"D049","Carcinoma in situ da pele, não especificada"
"D050","Carcinoma lobular in situ"
"D051","Carcinoma intraductal in situ"
"D057","Outros carcinomas in situ"
"D059","Carcinoma in situ da mama, não especificado"
"D060","Carcinoma in situ do endocérvix"
"D061","Carcinoma in situ do exocérvix"
"D067","Carcinoma in situ de outras partes do colo do útero"
"D069","Carcinoma in situ do colo do útero, não especificado"
"D070","Carcinoma in situ do endométrio"
"D071","Carcinoma in situ da vulva"
"D072","Carcinoma in situ da vagina"
"D073","Carcinoma in situ de outros órgãos genitais femininos e os não especificados"
"D074","Carcinoma in situ do pênis"
"D075","Carcinoma in situ da próstata"
"D076","Carcinoma in situ de outros órgãos genitais masculinos e os não especificados"
"D090","Carcinoma in situ da bexiga"
"D091","Carcinoma in situ de outros órgãos urinários e os não especificados"
"D092","Carcinoma in situ do olho"
"D093","Carcinoma in situ da tireóide e de outras glândulas endócrinas"
"D097","Carcinoma in situ de outras localizações especificadas"
"D099","Carcinoma in situ, não especificado"
"D100","Neoplasia benigna dos lábios"
"D101","Neoplasia benigna da língua"
"D102","Neoplasia benigna do assoalho da boca"
"D103","Neoplasia benigna de outras partes da boca e as não especificadas"
"D104","Neoplasia benigna da amígdala"
"D105","Neoplasia benigna de outras partes da orofaringe"
"D106","Neoplasia benigna da nasofaringe"
"D107","Neoplasia benigna da hipofaringe"
"D109","Neoplasia benigna da faringe, não especificada"
"D110","Neoplasia benigna da glândula parótida"
"D117","Neoplasia benigna de outras glândulas salivares maiores"
"D119","Neoplasia benigna da glândula salivar maior, não especificada"
"D120","Neoplasia benigna do ceco"
"D121","Neoplasia benigna do apêndice (vermiforme)"
"D122","Neoplasia benigna do cólon ascendente"
"D123","Neoplasia benigna do cólon transverso"
"D124","Neoplasia benigna do cólon descendente"
"D125","Neoplasia benigna do cólon sigmóide"
"D126","Neoplasia benigna do cólon, não especificada"
"D127","Neoplasia benigna da junção retossigmóide"
"D128","Neoplasia benigna do reto"
"D129","Neoplasia benigna do canal anal e ânus"
"D130","Neoplasia benigna do esôfago"
"D131","Neoplasia benigna do estômago"
"D132","Neoplasia benigna do duodeno"
"D133","Neoplasia benigna de outras partes e partes não especificadas do intestino delgado"
"D134","Neoplasia benigna do fígado"
"D135","Neoplasia benigna das vias biliares extra-hepáticas"
"D136","Neoplasia benigna do pâncreas"
"D137","Neoplasia benigna do pâncreas endócrino"
"D139","Neoplasia benigna de localizações mal definidas do aparelho digestivo"
"D140","Neoplasia benigna do ouvido médio, cavidade nasal e seios paranasais"
"D141","Neoplasia benigna da laringe"
"D142","Neoplasia benigna da traquéia"
"D143","Neoplasia benigna dos brônquios e pulmão"
"D144","Neoplasia benigna do aparelho respiratório, não especificado"
"D150","Neoplasia benigna do timo"
"D151","Neoplasia benigna do coração"
"D152","Neoplasia benigna do mediastino"
"D157","Neoplasia benigna de outros órgãos intratorácicos especificados"
"D159","Neoplasia benigna de órgão intratorácico, não especificado"
"D160","Neoplasia benigna da omoplata [escápula] e ossos longos dos membros superiores"
"D161","Neoplasia benigna dos ossos curtos dos membros superiores"
"D162","Neoplasia benigna dos ossos longos dos membros inferiores"
"D163","Neoplasia benigna dos ossos curtos dos membros inferiores"
"D164","Neoplasia benigna dos ossos do crânio e da face"
"D165","Neoplasia benigna do osso da mandíbula"
"D166","Neoplasia benigna da coluna vertebral"
"D167","Neoplasia benigna das costelas, do esterno e da clavícula"
"D168","Neoplasia benigna dos ossos pélvicos, sacro e cóccix"
"D169","Neoplasia benigna do osso e cartilagem articular, não especificado"
"D170","Neoplasia lipomatosa benigna da pele e do tecido subcutâneo da cabeça, face e pescoço"
"D171","Neoplasia lipomatosa benigna da pele e tecido subcutâneo do tronco"
"D172","Neoplasia lipomatosa benigna da pele e tecido subcutâneo dos membros"
"D173","Neoplasia lipomatosa benigna da pele e tecido subcutâneo de out. localiz. e de localiz. não especif."
"D174","Neoplasia lipomatosa benigna de órgãos intratorácicos"
"D175","Neoplasia lipomatosa benigna de órgãos intra-abdominais"
"D176","Neoplasia lipomatosa benigna do cordão espermático"
"D177","Neoplasia lipomatosa benigna de outras localizações"
"D179","Neoplasia lipomatosa benigna de localização não especificada"
"D180","Hemangioma de qualquer localização"
"D181","Linfangioma de qualquer localização"
"D190","Neoplasia benigna do tecido mesotelial da pleura"
"D191","Neoplasia benigna do tecido mesotelial do peritônio"
"D197","Neoplasia benigna do tecido mesotelial de outras localizações"
"D199","Neoplasia benigna do tecido mesotelial, não especificado"
"D200","Neoplasia benigna do retroperitônio"
"D201","Neoplasia benigna do peritônio"
"D210","Neoplasia benigna do tecido conjuntivo e outros tecidos moles da cabeça, face e pescoço"
"D211","Neoplasia benigna do tecido conjuntivo e outros tecidos moles dos membros superiores, incl. ombro"
"D212","Neoplasia benigna do tecido conjuntivo e outros tecidos moles dos membros inferiores, incl. quadril"
"D213","Neoplasia benigna do tecido conjuntivo e outros tecidos moles do tórax"
"D214","Neoplasia benigna do tecido conjuntivo e outros tecidos moles do abdome"
"D215","Neoplasia benigna do tecido conjuntivo e outros tecidos moles da pelve"
"D216","Neoplasia benigna do tecido conjuntivo e outros tecidos moles do tronco, não especificado"
"D219","Neoplasia benigna do tecido conjuntivo e outros tecidos moles, sem outra especificação"
"D220","Nevo melanocítico do lábio"
"D221","Nevo melanocítico da pálpebra, incluindo o canto"
"D222","Nevo melanocítico da orelha e do conduto auditivo externo"
"D223","Nevo melanocítico de outras partes e de partes não especificadas da face"
"D224","Nevo melanocítico do couro cabeludo e do pescoço"
"D225","Nevo melanocítico do tronco"
"D226","Nevo melanocítico dos membros superiores, incluindo ombro"
"D227","Nevo melanocítico dos membros inferiores, incluindo quadril"
"D229","Nevo melanocítico, não especificado"
"D230","Neoplasia benigna da pele dos lábios"
"D231","Neoplasia benigna da pele da pálpebra, incluindo o canto"
"D232","Neoplasia benigna da pele da orelha e do conduto auditivo externo"
"D233","Neoplasia benigna da pele de outras partes e de partes não especificadas da face"
"D234","Neoplasia benigna da pele do couro cabeludo e do pescoço"
"D235","Neoplasia benigna da pele do tronco"
"D236","Neoplasia benigna da pele dos membros superiores, incluindo o ombro"
"D237","Neoplasia benigna da pele dos membros inferiores, incluindo o quadril"
"D239","Neoplasia benigna da pele, não especificada"
"D24","Neoplasia benigna da mama"
"D250","Leiomioma submucoso do útero"
"D251","Leiomioma intramural do útero"
"D252","Leiomioma subseroso do útero"
"D259","Leiomioma do útero, não especificado"
"D260","Neoplasia benigna do colo do útero"
"D261","Neoplasia benigna do corpo do útero"
"D267","Neoplasia benigna de outras partes do útero"
"D269","Neoplasia benigna do útero, não especificado"
"D27","Neoplasia benigna do ovário"
"D280","Neoplasia benigna da vulva"
"D281","Neoplasia benigna da vagina"
"D282","Neoplasia benigna das trompas e ligamentos uterinos"
"D287","Neoplasia benigna de outros órgãos genitais femininos especificados"
"D289","Neoplasia benigna de órgão genital feminino, não especificado"
"D290","Neoplasia benigna do pênis"
"D291","Neoplasia benigna da próstata"
"D292","Neoplasia benigna dos testículos"
"D293","Neoplasia benigna do epidídimo"
"D294","Neoplasia benigna do escroto"
"D297","Neoplasia benigna de outros órgãos genitais masculinos"
"D299","Neoplasia benigna de órgão genital masculino, não especificado"
"D300","Neoplasia benigna do rim"
"D301","Neoplasia benigna da pelve renal"
"D302","Neoplasia benigna do ureter"
"D303","Neoplasia benigna da bexiga"
"D304","Neoplasia benigna da uretra"
"D307","Neoplasia benigna de outros órgãos urinários"
"D309","Neoplasia benigna de órgão urinário, não especificado"
"D310","Neoplasia benigna da conjuntiva"
"D311","Neoplasia benigna da córnea"
"D312","Neoplasia benigna da retina"
"D313","Neoplasia benigna da coróide"
"D314","Neoplasia benigna do corpo ciliar"
"D315","Neoplasia benigna das glândulas e dos canais lacrimais"
"D316","Neoplasia benigna da órbita, não especificada"
"D319","Neoplasia benigna do olho, não especificado"
"D320","Neoplasia benigna das meninges cerebrais"
"D321","Neoplasia benigna das meninges espinhais"
"D329","Neoplasia benigna das meninges, não especificada"
"D330","Neoplasia benigna do encéfalo, supratentorial"
"D331","Neoplasia benigna do encéfalo, infratentorial"
"D332","Neoplasia benigna do encéfalo, não especificado"
"D333","Neoplasia benigna dos nervos cranianos"
"D334","Neoplasia benigna da medula espinhal"
"D337","Neoplasia benigna de outras partes especificadas do sistema nervoso central"
"D339","Neoplasia benigna do sistema nervoso central, não especificado"
"D34","Neoplasia benigna da glândula tireóide"
"D350","Neoplasia benigna da glândula supra-renal (adrenal)"
"D351","Neoplasia benigna da glândula paratireóide"
"D352","Neoplasia benigna da glândula hipófise (pituitária)"
"D353","Neoplasia benigna do conduto craniofaríngeo"
"D354","Neoplasia benigna da glândula pineal"
"D355","Neoplasia benigna do corpo carotídeo"
"D356","Neoplasia benigna dos corpos aórticos e outros paragânglios"
"D357","Neoplasia benigna de outras glândulas endócrinas especificadas"
"D358","Neoplasia benigna com comprometimento pluriglandular"
"D359","Neoplasia benigna de glândula endócrina, não especificada"
"D360","Neoplasia benigna dos gânglios linfáticos (linfonodos)"
"D361","Neoplasia benigna dos nervos periféricos e sistema nervoso autônomo"
"D367","Neoplasia benigna de outras localizações especificadas"
"D369","Neoplasia benigna de localização não especificada"
"D370","Neoplasia de comportamento incerto ou desconhecido do lábio, cavidade oral e faringe"
"D371","Neoplasia de comportamento incerto ou desconhecido do estômago"
"D372","Neoplasia de comportamento incerto ou desconhecido do intestino delgado"
"D373","Neoplasia de comportamento incerto ou desconhecido do apêndice"
"D374","Neoplasia de comportamento incerto ou desconhecido dos cólons"
"D375","Neoplasia de comportamento incerto ou desconhecido do reto"
"D376","Neoplasia de comportamento incerto ou desconhecido do fígado, vesícula biliar e vias biliares"
"D377","Neoplasia de comportamento incerto ou desconhecido de outros órgãos digestivos"
"D379","Neoplasia de comportamento incerto ou desconhecido de órgão digestivo, não especificado"
"D380","Neoplasia de comportamento incerto ou desconhecido da laringe"
"D381","Neoplasia de comportamento incerto ou desconhecido da traquéia, brônquios e pulmão"
"D382","Neoplasia de comportamento incerto ou desconhecido da pleura"
"D383","Neoplasia de comportamento incerto ou desconhecido do mediastino"
"D384","Neoplasia de comportamento incerto ou desconhecido do timo"
"D385","Neoplasia de comportamento incerto ou desconhecido de outros órgãos respiratórios"
"D386","Neoplasia de comportamento incerto ou desconhecido de órgão respiratório, não especificado"
"D390","Neoplasia de comportamento incerto ou desconhecido do útero"
"D391","Neoplasia de comportamento incerto ou desconhecido do ovário"
"D392","Neoplasia de comportamento incerto ou desconhecido da placenta"
"D397","Neoplasia de comportamento incerto ou desconhecido de outros órgãos genitais femininos"
"D399","Neoplasia de comportamento incerto ou desconhecido de órgão genital feminino, não especificado"
"D400","Neoplasia de comportamento incerto ou desconhecido da próstata"
"D401","Neoplasia de comportamento incerto ou desconhecido do testículo"
"D407","Neoplasia de comportamento incerto ou desconhecido de outros órgãos genitais masculinos"
"D409","Neoplasia de comportamento incerto ou desconhecido de órgão genital masculino, não especificado"
"D410","Neoplasia de comportamento incerto ou desconhecido do rim"
"D411","Neoplasia de comportamento incerto ou desconhecido da pelve renal"
"D412","Neoplasia de comportamento incerto ou desconhecido do ureter"
"D413","Neoplasia de comportamento incerto ou desconhecido da uretra"
"D414","Neoplasia de comportamento incerto ou desconhecido da bexiga"
"D417","Neoplasia de comportamento incerto ou desconhecido de outros órgãos urinários"
"D419","Neoplasia de comportamento incerto ou desconhecido de órgão urinário, não especificado"
"D420","Neoplasia de comportamento incerto ou desconhecido das meninges cerebrais"
"D421","Neoplasia de comportamento incerto ou desconhecido das meninges espinhais"
"D429","Neoplasia de comportamento incerto ou desconhecido de meninges não especificadas"
"D430","Neoplasia de comportamento incerto ou desconhecido do encéfalo, supratentorial"
"D431","Neoplasia de comportamento incerto ou desconhecido do encéfalo, infratentorial"
"D432","Neoplasia de comportamento incerto ou desconhecido do encéfalo, não especificado"
"D433","Neoplasia de comportamento incerto ou desconhecido dos nervos cranianos"
"D434","Neoplasia de comportamento incerto ou desconhecido da medula espinhal"
"D437","Neoplasia de comportamento incerto ou desconhecido de outras partes do sistema nervoso central"
"D439","Neoplasia de comportamento incerto ou desconhecido do sistema nervoso central, não especificado"
"D440","Neoplasia de comportamento incerto ou desconhecido da glândula tireóide"
"D441","Neoplasia de comportamento incerto ou desconhecido da glândula supra-renal (adrenal)"
"D442","Neoplasia de comportamento incerto ou desconhecido da glândula paratireóide"
"D443","Neoplasia de comportamento incerto ou desconhecido da glândula hipófise (pituitária)"
"D444","Neoplasia de comportamento incerto ou desconhecido do conduto craniofaríngeo"
"D445","Neoplasia de comportamento incerto ou desconhecido da glândula pineal"
"D446","Neoplasia de comportamento incerto ou desconhecido do corpo carotídeo"
"D447","Neoplasia de comportamento incerto ou desconhecido dos corpos aórticos e outros paragânglios"
"D448","Neoplasia de comportamento incerto ou desconhecido com comprometimento pluriglandular"
"D449","Neoplasia de comportamento incerto ou desconhecido de glândula endócrina, não especificada"
"D45","Policitemia vera"
"D460","Anemia refratária sem sideroblastos"
"D461","Anemia refratária com sideroblastos"
"D462","Anemia refratária com excesso de blastos"
"D463","Anemia refratária com excesso de blastos com transformação"
"D464","Anemia refratária, não especificada"
"D467","Outras síndromes mielodisplásicas"
"D469","Síndrome mielodisplásica, não especificada"
"D470","Tumores de comportamento incerto ou desconhecido de mastócitos e células histiocíticas"
"D471","Doença mieloproliferativa crônica"
"D472","Gamopatia monoclonal"
"D473","Trombocitemia essencial (hemorrágica)"
"D477","Outras neoplasias especif. de comport. incerto ou desc. dos tecidos linf., hematop. e relacionados"
"D479","Neoplasia de comportamento incerto ou desconh. dos tec. linf., hematop. e correlatos,ñ especificada"
"D480","Neoplasia de comportamento incerto ou desconhecido dos ossos e cartilagens articulares"
"D481","Neoplasia de comportamento incerto ou desconhecido do tecido conjuntivo e outros tecidos moles"
"D482","Neoplasia de comportamento incerto ou desconhecido dos nervos perif. e do sistema nervoso periférico"
"D483","Neoplasia de comportamento incerto ou desconhecido do retroperitônio"
"D484","Neoplasia de comportamento incerto ou desconhecido do peritônio"
"D485","Neoplasia de comportamento incerto ou desconhecido da pele"
"D486","Neoplasia de comportamento incerto ou desconhecido da mama"
"D487","Neoplasia de comportamento incerto ou desconhecido de outras localizações especificadas"
"D489","Neoplasia de comportamento incerto ou desconhecido sem outra especificação"
"D500","Anemia por deficiência de ferro secundária à perda de sangue (crônica)"
"D501","Disfagia sideropênica"
"D508","Outras anemias por deficiência de ferro"
"D509","Anemia por deficiência de ferro não especificada"
"D510","Anemia por deficiência de vitamina B12 devida à deficiência de fator intrínseco"
"D511","Anemia por deficiência de vitamina B12 devida à má-absorção seletiva de vitamina B12 com proteinúria"
"D512","Deficiência de transcobalamina II"
"D513","Outras anemias por deficiência de vitamina B12 na dieta"
"D518","Outras anemias por deficiência de vitamina B12"
"D519","Anemia por deficiência de vitamina B12 não especificada"
"D520","Anemia por deficiência de folato na dieta"
"D521","Anemia por deficiência de folato induzida por drogas"
"D528","Outras anemias por deficiência de folato"
"D529","Anemia por deficiência de folato não especificada"
"D530","Anemia por deficiência de proteínas"
"D531","Outras anemias megaloblásticas não classificadas em outras partes"
"D532","Anemia escorbútica"
"D538","Outras anemias nutricionais especificadas"
"D539","Anemia nutricional não especificada"
"D550","Anemia devida à deficiência de glicose-6-fosfato-desidrogenase [G-6-Pd]"
"D551","Anemia devida a outros transtornos do metabolismo do glutation"
"D552","Anemia devida a transtornos das enzimas glicolíticas"
"D553","Anemia devida a transtornos do metabolismo de nucleotídios"
"D558","Outras anemias devidas a transtornos enzimáticos"
"D559","Anemia devida a transtorno enzimático não especificada"
"D560","Talassemia Alfa"
"D561","Talassemia Beta"
"D562","Talassemia Delta-Beta"
"D563","Estigma talassêmico"
"D564","Persistência hereditária de hemoglobina fetal"
"D568","Outras talassemias"
"D569","Talassemia não especificada"
"D570","Anemia falciforme com crise"
"D571","Anemia falciforme sem crise"
"D572","Transtornos falciformes heterozigóticos duplos"
"D573","Estigma falciforme"
"D578","Outros transtornos falciformes"
"D580","Esferocitose hereditária"
"D581","Eliptocitose hereditária"
"D582","Outras hemoglobinopatias"
"D588","Outras anemias hemolíticas hereditárias especificadas"
"D589","Anemia hemolítica hereditária não especificada"
"D590","Anemia hemolítica auto-imune induzida por droga"
"D591","Outras anemias hemolíticas auto-imunes"
"D592","Anemia hemolítica não-auto-imune induzida por drogas"
"D593","Síndrome hemolítico-urêmica"
"D594","Outras anemias hemolíticas não-autoimunes"
"D595","Hemoglobinúria paroxística noturna [marchiafava-micheli]"
"D596","Hemoglobinúria devida à hemólise por outras causas externas"
"D598","Outras anemias hemolíticas adquiridas"
"D599","Anemia hemolítica adquirida não especificada"
"D600","Aplasia pura adquirida crônica da série vermelha"
"D601","Aplasia pura adquirida transitória da série vermelha"
"D608","Outras aplasias puras adquiridas da série vermelha"
"D609","Aplasia pura adquirida, não especificada, da série vermelha"
"D610","Anemia aplástica constitucional"
"D611","Anemia aplástica induzida por drogas"
"D612","Anemia aplástica devida a outros agentes externos"
